clouds,max_wind_spd,min_temp,revision_status,snow,solar_rad,temp,wind_gust_spd,wind_spd
75,3.2,3.0,1,0.0,4,5.4,6.8,2.0
88,5.2,3.0,1,0.0,4,6.1,10.0,3.0
91,3.2,5.0,1,0.0,4,7.6,8.4,2.1
70,2.5,5.0,1,0.0,32,6.4,5.2,1.6
84,4.4,2.0,1,0.0,4,3.7,9.6,3.6
88,4.9,0.0,1,0.0,5,1.3,10.0,4.0
84,3.6,0.8,1,0.0,9,1.5,9.6,2.8
60,4.2,0.0,1,0.0,6,0.5,8.4,3.3
85,3.7,-2.0,1,0.0,13,-0.7,8.4,3.1
75,3.0,-3.0,1,0.0,12,-0.2,6.8,1.8
82,4.5,-4.0,1,0.0,10,-2.2,5.6,2.3
84,2.9,-5.0,1,0.0,6,-3.2,5.2,1.6
82,2.2,-2.0,1,0.0,23,0.3,6.4,1.4
72,3.6,-5.0,1,0.0,13,-0.2,8.0,2.4
83,7.6,-8.0,1,36.0,4,-2.2,19.2,4.3
70,7.5,1.0,1,0.0,16,4.3,12.0,5.1
85,7.1,-1.0,1,31.0,16,-0.3,14.4,5.6
86,6.8,-6.0,1,81.3,13,-4.1,14.8,5.5
86,3.9,-5.0,1,0.0,6,-3.6,10.8,3.0
83,4.2,-8.0,1,80.0,17,-5.0,10.0,3.3
90,6.9,-7.0,1,192.5,2,-5.5,11.6,4.2
85,3.9,-10.0,1,92.3,17,-4.7,5.2,1.8
90,5.4,-5.0,1,270.5,3,-2.0,12.4,3.7
88,5.3,-4.0,1,0.0,2,-1.6,12.0,4.0
89,4.9,-6.0,1,75.0,3,-5.4,9.2,3.4
86,4.6,-9.0,1,0.0,4,-5.9,9.2,3.3
81,4.5,-13.0,1,0.0,13,-9.3,7.6,2.5
83,2.0,-12.0,1,0.0,13,-8.6,4.0,1.3
85,1.0,-16.0,1,0.0,8,-13.2,5.2,0.9
92,2.0,-10.0,1,319.3,3,-3.8,8.0,1.1
89,4.2,0.0,1,35.0,4,0.8,10.4,3.3
93,5.6,-1.0,1,113.8,3,0.3,9.2,4.3
89,3.6,-1.0,1,10.8,3,0.1,8.8,2.8
90,5.1,-1.0,1,24.5,3,0.7,10.4,4.0
88,4.7,-3.5,1,0.0,3,-2.5,9.2,3.5
84,5.4,-5.0,1,0.0,4,-3.0,8.8,3.7
45,4.7,-6.0,1,0.0,5,-5.8,9.2,3.7
0,4.2,-8.0,1,0.0,3,-3.6,6.4,2.5
0,8.7,1.0,1,0.0,1,3.8,18.0,4.6
0,8.1,2.0,1,0.0,1,4.5,14.4,3.0
0,5.0,6.0,1,0.0,5,6.4,10.8,3.7
40,8.7,1.0,1,0.0,12,5.1,17.6,5.8
82,4.2,0.0,1,42.0,1,0.6,8.8,2.0
88,7.1,-1.0,1,15.0,2,0.3,16.8,3.9
95,6.7,0.0,1,179.8,1,0.6,17.2,5.6
88,6.8,-4.0,1,17.5,2,-2.5,13.6,5.7
84,5.1,-10.0,1,125.0,12,-6.2,11.6,2.9
82,4.8,-2.0,1,60.5,11,0.3,12.0,2.5
82,5.3,-10.0,1,0.0,3,-5.8,10.4,2.7
78,7.2,-7.0,1,0.0,12,-3.8,12.4,4.6
90,6.3,-8.0,1,137.0,1,-1.6,13.2,3.1
90,4.0,1.0,1,45.0,1,1.9,8.4,1.9
86,4.0,-1.0,1,14.5,2,0.2,8.0,2.4
84,4.5,-3.0,1,0.0,3,-2.2,8.4,3.2
93,6.6,-4.0,1,180.0,3,-2.2,12.0,4.9
88,7.6,-6.0,1,600.0,4,-5.4,14.8,5.6
87,8.2,-7.0,1,600.0,4,-6.5,16.8,7.4
86,6.1,-11.0,1,515.0,4,-8.8,15.2,4.5
84,4.1,-14.0,1,0.0,8,-10.6,12.0,2.9
84,3.0,-14.0,1,0.0,8,-12.1,7.6,2.3
84,1.4,-17.0,1,0.0,8,-14.6,6.8,1.0
86,4.0,-15.0,1,7.5,12,-9.9,9.2,2.5
72,4.2,-7.0,1,40.0,14,-2.3,11.2,2.9
79,4.7,-3.0,1,4.0,9,0.0,10.8,3.3
72,4.2,-3.3,1,0.5,16,-0.2,9.0,2.3
90,5.9,-2.2,1,74.5,7,0.3,12.4,4.1
97,4.5,-2.5,1,103.0,2,-0.9,9.8,2.7
88,5.0,-4.1,1,145.0,3,-2.0,9.2,2.9
95,5.1,-11.4,1,310.0,5,-6.8,11.2,4.3
13,4.0,-14.2,1,0.0,21,-12.9,9.2,2.3
95,5.4,-11.8,1,283.3,4,-3.1,14.2,3.7
74,4.7,-9.7,1,85.0,12,-6.6,10.4,3.7
21,2.2,-13.8,1,0.0,11,-11.8,5.2,0.9
65,2.0,-13.3,1,60.0,23,-11.7,4.8,1.2
98,4.6,-9.7,1,90.0,3,-1.0,10.9,3.7
88,6.7,0.1,1,13.0,6,2.4,15.8,5.8
71,6.2,0.7,1,0.0,18,3.2,14.0,4.7
98,4.1,0.4,1,89.0,3,0.8,9.5,2.4
98,4.8,-2.3,1,0.0,5,-1.0,10.8,3.4
97,4.3,-3.4,1,102.0,5,-1.4,10.0,2.8
63,3.9,-1.8,1,19.0,31,0.2,9.4,2.2
96,4.3,2.0,1,0.0,12,3.0,9.6,3.6
99,4.3,2.1,1,0.0,9,3.1,9.7,3.0
98,1.7,-0.7,1,12.0,3,1.3,3.9,0.8
95,6.6,1.6,1,0.0,6,2.9,14.4,4.0
73,7.0,0.3,1,0.0,27,2.3,15.4,5.7
73,5.5,-0.6,1,0.0,9,1.4,12.7,3.6
61,6.8,2.6,1,0.0,40,4.6,14.7,5.4
33,6.8,-0.7,1,0.0,28,1.5,14.7,4.4
29,4.0,-3.8,1,96.0,42,-1.5,8.9,3.0
44,4.2,-6.3,1,10.0,31,-3.9,12.0,1.7
90,5.4,-5.9,1,140.0,13,-4.3,12.8,3.1
64,1.6,-7.0,1,0.0,25,-5.6,3.4,0.8
58,3.3,-7.0,1,231.3,33,-4.8,7.9,2.3
97,4.0,-5.6,1,125.0,13,-3.6,9.1,3.3
100,4.3,-4.2,1,0.0,10,-3.5,9.8,3.8
99,5.1,-4.1,1,91.0,8,-3.0,11.2,4.5
99,4.6,-2.6,1,288.0,6,-0.6,10.3,2.6
89,2.4,-3.6,1,0.0,20,-0.7,6.6,1.3
100,1.6,0.5,1,12.0,6,1.0,3.5,1.0
100,4.0,1.2,1,2.0,6,3.4,8.9,2.9
48,5.0,-2.0,1,36.0,62,0.8,11.1,3.9
66,2.9,-2.9,1,51.5,25,-1.1,6.4,1.9
100,3.0,0.2,1,127.3,7,0.6,6.6,2.1
95,2.7,-0.2,1,0.0,7,0.4,6.2,1.6
100,2.6,0.1,1,15.0,7,1.8,5.9,1.4
99,4.3,1.0,1,0.0,8,2.5,9.9,3.0
66,5.7,2.5,1,0.0,43,4.4,12.9,4.6
88,3.2,1.2,1,0.0,15,2.7,7.3,2.1
83,3.3,0.2,1,0.0,50,2.6,7.9,2.4
98,1.7,-0.1,1,39.3,13,1.5,4.4,0.9
97,2.4,0.0,1,0.0,13,1.7,5.5,1.4
90,3.5,0.0,1,0.0,30,1.7,8.5,2.5
88,5.4,1.3,1,0.0,22,2.5,12.3,3.9
95,4.4,2.0,1,0.0,9,3.5,10.2,3.4
89,3.9,2.4,1,0.0,34,3.5,8.7,2.6
78,3.6,0.3,1,0.0,97,2.6,7.7,2.5
67,3.4,-0.8,1,0.0,102,0.6,7.7,2.4
75,4.0,-0.9,1,0.0,34,0.5,8.9,3.4
