clouds,max_temp_ts,max_wind_spd,min_temp,revision_status,snow,solar_rad,temp,wind_gust_spd,wind_spd
75,1699452000,3.2,3.0,final,0.0,4,5.4,6.8,2.0
88,1699560000,5.2,3.0,final,0.0,4,6.1,10.0,3.0
91,1699614000,3.2,5.0,final,0.0,4,7.6,8.4,2.1
70,1699704000,2.5,5.0,final,0.0,32,6.4,5.2,1.6
84,1699743600,4.4,2.0,final,0.0,4,3.7,9.6,3.6
88,1699873200,4.9,0.0,final,0.0,5,1.3,10.0,4.0
84,1699952400,3.6,0.8,final,0.0,9,1.5,9.6,2.8
60,1700053200,4.2,0.0,final,0.0,6,0.5,8.4,3.3
85,1700136000,3.7,-2.0,final,0.0,13,-0.7,8.4,3.1
75,1700218800,3.0,-3.0,final,0.0,12,-0.2,6.8,1.8
82,1700287200,4.5,-4.0,final,0.0,10,-2.2,5.6,2.3
84,1700424000,2.9,-5.0,final,0.0,6,-3.2,5.2,1.6
82,1700481600,2.2,-2.0,final,0.0,23,0.3,6.4,1.4
72,1700571600,3.6,-5.0,final,0.0,13,-0.2,8.0,2.4
83,1700690400,7.6,-8.0,final,36.0,4,-2.2,19.2,4.3
70,1700737200,7.5,1.0,final,0.0,16,4.3,12.0,5.1
85,1700784000,7.1,-1.0,final,31.0,16,-0.3,14.4,5.6
86,1700866800,6.8,-6.0,final,81.3,13,-4.1,14.8,5.5
86,1701036000,3.9,-5.0,final,0.0,6,-3.6,10.8,3.0
83,1701057600,4.2,-8.0,final,80.0,17,-5.0,10.0,3.3
90,1701154800,6.9,-7.0,final,192.5,2,-5.5,11.6,4.2
85,1701223200,3.9,-10.0,final,92.3,17,-4.7,5.2,1.8
90,1701374400,5.4,-5.0,final,270.5,3,-2.0,12.4,3.7
88,1701446400,5.3,-4.0,final,0.0,2,-1.6,12.0,4.0
89,1701471600,4.9,-6.0,final,75.0,3,-5.4,9.2,3.4
86,1701608400,4.6,-9.0,final,0.0,4,-5.9,9.2,3.3
